group,time,pulserate,systolicbloodpressure,diastolicbloodpressure,quaternion,euler,acceleration
13,2019-03-09T14:19:46.500Z,122,117,68,"[0.2190830409526825, 0.5587321519851685, -0.5195624232292175, 0.6081743240356445]","[-100.610595703125, -26.869413375854492, -108.26950073242188]","[0.4925050139427185, 1.1150751113891602, -0.02477065846323967]"
13,2019-03-09T14:19:47.506Z,122,117,68,"[-0.09896039962768555, 0.5876835584640503, -0.5707057118415833, 0.5649158358573914]","[-122.91995239257812, -50.98108673095703, -117.39373779296875]","[0.180735781788826, 0.9067725539207458, -0.07568866014480591]"
13,2019-03-09T14:19:48.513Z,122,117,68,"[-0.3668777346611023, 0.5764291286468506, -0.3899628221988678, 0.6172999739646912]","[-61.834346771240234, -86.1959228515625, 177.08387756347656]","[-0.4021744132041931, 0.3545765280723572, -0.7369736433029175]"
13,2019-03-09T14:19:49.519Z,122,118,68,"[-0.5847271084785461, 0.4517979919910431, -0.4146898090839386, 0.53104168176651]","[19.53360366821289, -74.75447082519531, 69.50814819335938]","[-0.22729773819446564, 0.040510840713977814, -0.4180833101272583]"
13,2019-03-09T14:19:50.525Z,122,118,69,"[-0.7603338956832886, 0.3088451325893402, -0.4429095983505249, 0.36102378368377686]","[19.770654678344727, -63.70426559448242, 38.44042205810547]","[-0.3449826240539551, -0.22326306998729706, -0.7229306697845459]"
13,2019-03-09T14:19:51.532Z,123,119,69,"[-0.8439546823501587, 0.0018180720508098602, -0.5280783772468567, 0.0941830426454544]","[-12.296919822692871, -63.086524963378906, 20.301843643188477]","[0.1015443280339241, 0.045463643968105316, -0.9442592859268188]"
13,2019-03-09T14:19:52.538Z,123,120,69,"[-0.8369929194450378, -0.18306095898151398, -0.49197882413864136, -0.15455877780914307]","[-18.976791381835938, -61.66083908081055, -9.531637191772461]","[0.6972209215164185, 0.25732555985450745, -1.0500576496124268]"
13,2019-03-09T14:19:53.545Z,123,121,69,"[-0.7745464444160461, -0.3160293698310852, -0.3764781951904297, -0.3980797529220581]","[-20.16918182373047, -56.59601974487305, -43.46273422241211]","[-0.0045686569064855576, 0.1465495377779007, -1.329033374786377]"
13,2019-03-09T14:19:54.551Z,123,120,69,"[-0.6413293480873108, -0.4700205624103546, -0.229783833026886, -0.5612279176712036]","[-37.315650939941406, -55.3168830871582, -62.30767822265625]","[-0.09194227308034897, 0.753649890422821, -0.6173846125602722]"
13,2019-03-09T14:19:55.557Z,123,119,69,"[-0.46030393242836, -0.5227761268615723, -0.07521779835224152, -0.7135598659515381]","[-40.224796295166016, -54.61806869506836, -92.9353256225586]","[-0.3034937381744385, 0.5051599740982056, -0.6049071550369263]"
13,2019-03-09T14:19:56.564Z,123,119,69,"[-0.20790442824363708, -0.4783983528614044, 0.08562368899583817, -0.8488694429397583]","[-33.126380920410156, -50.949642181396484, -136.3461151123047]","[0.11338113248348236, 0.6928861141204834, -0.8889850378036499]"
13,2019-03-09T14:19:57.570Z,122,118,69,"[0.031227653846144676, -0.4573380649089813, 0.0638950988650322, -0.8864446878433228]","[-8.402533531188965, -54.56764602661133, -179.69564819335938]","[0.43456006050109863, 0.5165671706199646, -1.3113330602645874]"
13,2019-03-09T14:19:58.576Z,122,116,68,"[0.2646700441837311, -0.35250288248062134, 0.1298748105764389, -0.8881577849388123]","[-3.516331911087036, -44.01959228515625, 148.2338104248047]","[0.6374936103820801, 0.250615656375885, -1.2671871185302734]"
13,2019-03-09T14:19:59.583Z,122,116,68,"[0.4046543538570404, -0.25896692276000977, 0.22007723152637482, -0.8489742279052734]","[-12.045520782470703, -38.15732955932617, 133.21112060546875]","[0.7460672855377197, 0.4325137734413147, -1.4053983688354492]"
13,2019-03-09T14:20:00.588Z,122,116,68,"[0.5297852158546448, -0.173470601439476, 0.382738322019577, -0.7367135882377625]","[-30.441822052001953, -41.386470794677734, 120.29478454589844]","[0.6383960843086243, 0.5778024196624756, -1.2749555110931396]"
13,2019-03-09T14:20:01.594Z,122,116,68,"[0.6898254156112671, -0.08890178054571152, 0.5352129340171814, -0.4793585240840912]","[-43.51227569580078, -55.450714111328125, 93.28277587890625]","[0.43927839398384094, 0.5058969259262085, -1.074493646621704]"
13,2019-03-09T14:20:02.599Z,122,116,68,"[0.7703134417533875, 0.0016123633831739426, 0.602031409740448, -0.21017351746559143]","[-42.88850021362305, -67.94564819335938, 60.171234130859375]","[0.41628822684288025, 0.22144274413585663, -0.8955203890800476]"
13,2019-03-09T14:20:03.606Z,123,116,68,"[0.7665367722511292, 0.15683409571647644, 0.6225793957710266, 0.014812888577580452]","[-51.65619659423828, -73.55795288085938, 37.568031311035156]","[0.3783954083919525, 0.38272911310195923, -0.8268092274665833]"
